Change Component Footprint: Designator=LS1 Old Footprint=BUZZER New Footprint=BZ_C9
Change Component Footprint: Designator=P9 Old Footprint=HDR2X9 New Footprint=HDR_F_2X9
Change Component Footprint: Designator=P11 Old Footprint=HDR2X14 New Footprint=HDR_F_2X14
Change Component Footprint: Designator=D8 Old Footprint=Led0805 New Footprint=LED0805GRN
Change Component Footprint: Designator=D1 Old Footprint=Led0805 New Footprint=LED1206GRN
Change Component Footprint: Designator=D2 Old Footprint=Led0805 New Footprint=LED1206GRN
Change Component Footprint: Designator=D9 Old Footprint=Led0805 New Footprint=LED1206GRN
Change Component Footprint: Designator=D10 Old Footprint=Led0805 New Footprint=LED1206GRN
Change Component Footprint: Designator=D11 Old Footprint=Led0805 New Footprint=LED1206RED
Change Component Footprint: Designator=D12 Old Footprint=Led0805 New Footprint=LED1206RED
Change Component Footprint: Designator=D13 Old Footprint=Led0805 New Footprint=LED1206RED
Change Component Footprint: Designator=D14 Old Footprint=Led0805 New Footprint=LED1206RED
Change Component Footprint: Designator=D15 Old Footprint=Led0805 New Footprint=LED1206RED
Change Component Footprint: Designator=D16 Old Footprint=Led0805 New Footprint=LED1206RED
Change Component Footprint: Designator=D17 Old Footprint=Led0805 New Footprint=LED1206RED
Change Component Footprint: Designator=D18 Old Footprint=Led0805 New Footprint=LED1206RED
Change Component Footprint: Designator=K1 Old Footprint=MODULE5B New Footprint=REL_SPDT_5_1512
Change Component Footprint: Designator=K2 Old Footprint=MODULE5B New Footprint=REL_SPDT_5_1512
Change Component Footprint: Designator=P6 Old Footprint=PIN_2 New Footprint=HDR_F_1X2
Change Component Footprint: Designator=P1 Old Footprint=PIN_5_W New Footprint=HDR_F_1X5
Change Component Footprint: Designator=S6 Old Footprint=PUSH_BUTTON New Footprint=SWPBT_SPST_6X6X5
Change Component Footprint: Designator=S7 Old Footprint=PUSH_BUTTON New Footprint=SWPBT_SPST_6X6X5
Change Component Footprint: Designator=S8 Old Footprint=PUSH_BUTTON New Footprint=SWPBT_SPST_6X6X5
Change Component Footprint: Designator=S9 Old Footprint=PUSH_BUTTON New Footprint=SWPBT_SPST_6X6X5
Change Component Footprint: Designator=P2 Old Footprint=RELAY_5V New Footprint=HDR_M_1X3
Change Component Footprint: Designator=P5 Old Footprint=RELAY_5V New Footprint=HDR_M_1X3
Change Component Footprint: Designator=U6 Old Footprint=SOP20 New Footprint=SO_20_W
Change Component Footprint: Designator=U10 Old Footprint=SOP28 New Footprint=SO_28_W
